"Timestamp","Please rate how life-like the robots are (10 being very life-like, 1 being not life-like at all)","How intelligent do these robots appear (10 being very intelligent, 1 being not intelligent at all)?","Please rate the level of interesting behavior that these robots are displaying(10 being very interesting, 1 being not interesting at all)"
"2021/03/08 8:34:16 PM AST","3","5","6"
"2021/03/08 8:43:08 PM AST","5","5","4"
"2021/03/08 8:46:06 PM AST","4","3","4"
"2021/03/08 8:51:24 PM AST","2","2","3"
"2021/03/08 8:57:02 PM AST","1","2","2"
"2021/03/08 9:19:40 PM AST","7","8","7"
"2021/03/08 10:13:18 PM AST","6","7","8"
"2021/03/09 9:27:06 AM AST","2","5","5"
"2021/03/09 9:27:06 AM AST","2","2","6"
"2021/03/09 9:30:37 AM AST","6","6","8"
"2021/03/09 9:43:43 AM AST","6","5","6"
"2021/03/09 9:44:29 AM AST","1","2","2"
"2021/03/09 10:02:55 AM AST","6","6","10"
"2021/03/09 10:18:09 AM AST","2","2","8"
"2021/03/09 10:38:42 AM AST","8","8","8"
"2021/03/09 11:03:58 AM AST","3","3","5"
"2021/03/09 11:31:29 AM AST","7","3","6"
"2021/03/09 11:33:15 AM AST","3","3","5"
"2021/03/09 12:18:01 PM AST","7","6","8"
"2021/03/09 2:13:00 PM AST","3","4","6"
"2021/03/09 2:28:59 PM AST","3","4","5"
"2021/03/09 4:34:57 PM AST","4","4","5"
"2021/03/09 4:44:26 PM AST","7","6","8"
"2021/03/09 7:41:08 PM AST","6","5","7"
"2021/03/09 7:42:24 PM AST","8","8","7"
"2021/03/09 11:17:44 PM AST","1","1","4"
"2021/03/10 10:02:15 AM AST","2","3","4"
"2021/03/10 10:28:05 AM AST","1","1","2"
"2021/03/10 10:34:31 AM AST","3","4","3"
"2021/03/10 10:51:46 AM AST","4","5","5"
"2021/03/10 11:10:47 AM AST","3","4","3"
"2021/03/10 11:25:50 AM AST","2","1","1"
"2021/03/10 12:27:02 PM AST","2","4","1"
"2021/03/10 2:22:16 PM AST","3","3","8"
"2021/03/10 3:38:29 PM AST","6","5","4"
"2021/03/10 4:36:07 PM AST","2","3","4"
"2021/03/10 7:40:03 PM AST","1","2","9"
"2021/03/11 9:16:08 AM AST","7","7","8"
